Breakdown,ttm,12/30/2022,12/30/2021,12/30/2020,12/30/2019
Total Revenue,"94,028,000","81,462,000","53,823,000","31,536,000","24,578,000"
Cost of Revenue,"73,825,000","60,609,000","40,217,000","24,906,000","20,509,000"
Gross Profit,"20,203,000","20,853,000","13,606,000","6,630,000","4,069,000"
Operating Expense,"7,517,000","7,021,000","7,110,000","4,636,000","3,989,000"
Operating Income,"12,686,000","13,832,000","6,496,000","1,994,000","80,000"
Net Non Operating Interest Income Expense,"551,000","106,000","-315,000","-718,000","-641,000"
Other Income Expense,"119,000","-219,000","162,000","-122,000","-104,000"
Pretax Income,"13,356,000","13,719,000","6,343,000","1,154,000","-665,000"
Tax Provision,"1,165,000","1,132,000","699,000","292,000","110,000"
Net Income Common Stockholders,"12,235,000","12,583,000","5,519,000","690,000","-862,000"
Average Dilution Earnings,"2,000","1,000",-,-,-
Diluted NI Available to Com Stockholders,"12,237,000","12,584,000","5,519,000","690,000","-862,000"
Basic EPS,-,4.02,1.87,0.25,-0.33
Diluted EPS,-,3.62,1.63,0.21,-0.33
Basic Average Shares,-,"3,130,000","2,958,000","2,799,000","2,661,000"
Diluted Average Shares,-,"3,475,000","3,387,000","3,249,000","2,661,000"
Total Operating Income as Reported,"12,652,000","13,656,000","-6,523,000","1,994,000","-69,000"
Total Expenses,"81,342,000","67,630,000","47,327,000","29,542,000","24,498,000"
Net Income from Continuing & Discontinued Operation,"12,222,000","12,583,000","5,519,000","690,000","-862,000"
Normalized Income,"12,253,034","12,744,920","5,494,970","690,000","-753,230"
Interest Income,"694,000","297,000","56,000","30,000","44,000"
Interest Expense,"143,000","191,000","371,000","748,000","685,000"
Net Interest Income,"551,000","106,000","-315,000","-718,000","-641,000"
EBIT,"13,499,000","13,910,000","6,714,000","1,902,000","20,000"
EBITDA,"17,644,000","17,657,000","9,625,000","4,224,000","2,174,000"
Reconciled Cost of Revenue,"73,825,000","60,609,000","40,217,000","24,906,000","20,509,000"
Reconciled Depreciation,"4,145,000","3,747,000","2,911,000","2,322,000","2,154,000"
Net Income from Continuing Operation Net Minority Interest,"12,222,000","12,583,000","5,519,000","690,000","-862,000"
Total Unusual Items Excluding Goodwill,"-34,000","-176,000","27,000",0,"-149,000"
Total Unusual Items,"-34,000","-176,000","27,000",0,"-149,000"
Normalized EBITDA,"17,678,000","17,833,000","9,598,000","4,224,000","2,323,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-2,966","-14,080","2,970",0,"-40,230"
